Year;Category;Teatrite arv;Lavastused;..uuslavastused;Etendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Saalid;Istekohad
2007;Muud teatrid;18;135;54;1 462;210,3;156,8;15;1 934
;Riigi- ja linnateatrid;12;279;110;3 303;811,8;605;43;9 628
;Teatrid kokku;30;414;164;4 765;1 022,1;761,8;58;11 562
2008;Muud teatrid;14;124;57;1 343;182,8;136,4;10;1 011
;Riigi- ja linnateatrid;12;276;100;3 292;800,3;596,9;40;8 529
;Teatrid kokku;26;400;157;4 635;983,1;733,3;50;9 540
2009;Muud teatrid;15;115;54;1 218;135,6;101,2;9;958
;Riigi- ja linnateatrid;13;286;99;3 513;738,2;550,8;37;8 230
;Teatrid kokku;28;401;153;4 731;873,8;652;46;9 188
2010;Muud teatrid;17;138;70;1 346;146,1;109;9;958
;Riigi- ja linnateatrid;12;279;103;3 247;753,8;562,5;37;8 230
;Teatrid kokku;29;417;173;4 593;899,9;671,5;46;9 188
2011;Muud teatrid;22;163;75;1 595;174,5;130,2;13;1 255
;Riigi- ja linnateatrid;12;301;115;3 417;833,8;622,3;41;9 149
;Teatrid kokku;34;464;190;5 012;1 008,3;752,5;54;10 404
2012;Muud teatrid;29;173;89;1 936;212,7;159,8;20;2 282
;Riigi- ja linnateatrid;12;314;114;3 742;931,5;704,8;56;15 159
;Teatrid kokku;41;487;203;5 678;1 143;864,1;76;17 441
2013;Muud teatrid;29;192;88;2 196;256,4;194,6;28;3 088
;Riigi- ja linnateatrid;12;298;98;3 607;834,3;633;41;11 066
;Teatrid kokku;41;490;186;5 803;1 090,7;827,5;69;14 154
2014;Muud teatrid;26;200;95;2 163;214,5;163,2;32;3 213
;Riigi- ja linnateatrid;11;311;101;3 847;832,6;633,4;41;11 148
;Teatrid kokku;37;511;196;6 010;1 047,1;796,6;73;14 361
2015;Muud teatrid;38;245;121;2 601;286,9;218,3;37;3 743
;Riigi- ja linnateatrid;11;305;95;3 833;859,6;653,9;46;12 690
;Teatrid kokku;49;550;216;6 434;1 146,6;872,2;83;16 433
2016;Muud teatrid;35;233;108;2 827;312,4;237,4;41;5 809
;Riigi- ja linnateatrid;11;307;88;3 746;873,6;663,9;45;12 139
;Teatrid kokku;46;540;196;6 573;1 186;901,4;86;17 948
2017;Muud teatrid;36;241;105;2 893;298,6;226,6;41;5 097
;Riigi- ja linnateatrid;11;318;99;3 820;865,4;656,9;44;12 345
;Teatrid kokku;47;559;204;6 713;1 164;883,5;85;17 442
2018;Muud teatrid;47;260;116;2 942;325,1;245,9;41;5 809
;Riigi- ja linnateatrid;11;322;95;3 753;866,9;655,8;45;12 139
;Teatrid kokku;58;582;211;6 695;1 192;901,7;86;17 948
2019;Muud teatrid;55;299;130;3 279;402,2;303,1;48;6 389
;Riigi- ja linnateatrid;10;311;92;3 768;871,1;656,5;38;11 984
;Teatrid kokku;65;610;222;7 047;1 273,3;959,6;86;18 373
2020;Muud teatrid;55;256;102;2 192;223,6;168,2;47;7 021
;Riigi- ja linnateatrid;10;283;64;2 593;503,8;378,9;41;10 909
;Teatrid kokku;65;539;166;4 785;727,3;547,1;88;17 930
2021;Muud teatrid;72;293;139;2 293;264,3;198,6;46;6 576
;Riigi- ja linnateatrid;11;278;72;2 497;386,8;290,6;38;11 030
;Teatrid kokku;83;571;211;4 790;651,1;489,2;84;17 606
2022;Muud teatrid;81;354;148;3 414;384;284,7;42;6 031
;Riigi- ja linnateatrid;11;302;91;3 330;736;545,7;36;10 840
;Teatrid kokku;92;656;239;6 744;1 120;830,4;78;16 871
2023;Muud teatrid;83;409;174;3 521;434,5;317,1;48;6 983
;Riigi- ja linnateatrid;11;307;96;3 667;893,5;652,1;34;10 370
;Teatrid kokku;94;716;270;7 188;1 328;969,1;82;17 353
