Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
2007;Muud teatrid;..draama;27;8;347;148;35,60;26,50;9,20
;Muud teatrid;..klassikaline tants;0;0;0;0;0;0;0
;Muud teatrid;..komöödia;19;6;321;213;75,70;56,40;9,22
;Muud teatrid;..muu lastelavastus;4;2;47;46;3,80;2,80;1,28
;Muud teatrid;..muu muusikalavastus;3;1;19;2;3,70;2,70;21,65
;Muud teatrid;..muu sõnalavastus;5;4;66;5;15,80;11,80;9,32
;Muud teatrid;..muu tantsulavastus;3;1;40;10;1,70;1,30;8,85
;Muud teatrid;..muusikal;0;0;0;0;0;0;0
;Muud teatrid;..muusikalavastus lastele;0;0;0;0;0;0;0
;Muud teatrid;..nukulavastus lastele;11;2;132;104;9,80;7,30;1,36
;Muud teatrid;..nüüdistants;32;16;125;79;9,50;7,10;5,37
;Muud teatrid;..ooper;2;2;11;0;4,30;3,20;15,55
;Muud teatrid;..operett;0;0;0;0;0;0;0
;Muud teatrid;..sõnalavastus lastele;17;6;248;188;25,60;19,10;2,44
;Muud teatrid;..tantsulavastus lastele;2;0;16;6;1;0,80;1,60
;Muud teatrid;..tragikomöödia;2;2;19;13;5;3,70;7,52
;Muud teatrid;Kokku;135;54;1 462;867;210,30;156,80;7,85
;Muud teatrid;Lastelavastus;34;10;443;344;40,10;29,90;2,03
;Muud teatrid;Muu lavastus;8;4;71;53;19;14,10;6,67
;Muud teatrid;Muusikalavastus;5;3;30;2;8;5,90;18,52
;Muud teatrid;Sõnalavastus;53;20;753;379;132,10;98,50;9,16
;Muud teatrid;Tantsulavastus;35;17;165;89;11,20;8,30;7,06
;Riigi- ja linnateatrid;..draama;108;43;1 499;193;252,30;188,10;8,56
;Riigi- ja linnateatrid;..klassikaline tants;9;4;71;2;34,10;25,40;8,99
;Riigi- ja linnateatrid;..komöödia;36;15;497;95;152,10;113,40;7,59
;Riigi- ja linnateatrid;..muu lastelavastus;3;1;19;3;9;6,70;4,04
;Riigi- ja linnateatrid;..muu muusikalavastus;2;1;37;12;11,60;8,70;8,50
;Riigi- ja linnateatrid;..muu sõnalavastus;8;4;69;11;9,50;7,10;6,01
;Riigi- ja linnateatrid;..muu tantsulavastus;2;1;9;0;0,60;0,40;9,19
;Riigi- ja linnateatrid;..muusikal;5;1;76;2;40;29,80;14,11
;Riigi- ja linnateatrid;..muusikalavastus lastele;6;3;35;10;11,30;8,40;6,05
;Riigi- ja linnateatrid;..nukulavastus lastele;18;3;243;31;85,40;63,60;3,37
;Riigi- ja linnateatrid;..nüüdistants;10;5;54;9;8,20;6,10;5,36
;Riigi- ja linnateatrid;..ooper;18;6;119;11;64,30;47,90;10,64
;Riigi- ja linnateatrid;..operett;3;0;42;7;24;17,90;10,03
;Riigi- ja linnateatrid;..sõnalavastus lastele;22;7;236;26;63;46,90;4,67
;Riigi- ja linnateatrid;..tantsulavastus lastele;3;0;167;4;19,40;14,50;8,16
;Riigi- ja linnateatrid;..tragikomöödia;9;2;101;23;22,70;16,90;5,88
;Riigi- ja linnateatrid;Kokku;279;110;3 303;441;811,80;605;9,16
;Riigi- ja linnateatrid;Lastelavastus;52;14;700;74;188;140,10;5,34
;Riigi- ja linnateatrid;Muu lavastus;17;14;29;2;4,40;3,30;7,38
;Riigi- ja linnateatrid;Muusikalavastus;28;8;274;32;139,90;104,20;11,44
;Riigi- ja linnateatrid;Sõnalavastus;161;64;2 166;322;436,60;325,40;8,03
;Riigi- ja linnateatrid;Tantsulavastus;21;10;134;11;42,90;32;8,35
;Teatrid kokku;..draama;135;51;1 846;341;287,90;214,60;7,83
;Teatrid kokku;..klassikaline tants;9;4;71;2;34,10;25,40;5,36
