Aasta;Kategooria;..investeeringud, tuhat eurot;..tulud piletimüügist, tuhat eurot;Arvestuslikud inimtööaastad;Halduskulud, tuhat eurot;Costs and investments (thousands of euros);Muud kulud, tuhat eurot;Muud toetused, tuhat eurot;Omatulud, tuhat eurot;Tulud omavalitsuse eelarvest, tuhat eurot;Tulud riigieelarvest, tuhat eurot;Revenue (thousands of euros);Tööjõukulud, tuhat eurot
2007;Muud teatrid;703,42;1 286,96;111,40;1 607,57;3 127,96;1 607,57;308,86;1 418,16;273,48;1 239,20;3 239,70;1 442,66
;Riigi- ja linnateatrid;4 230,97;6 433,26;1 566,30;11 848,79;34 251,84;11 848,79;152,28;8 750,33;1 488,46;21 899,86;34 094,21;20 393,48
;Teatrid kokku;4 934,39;7 720,23;1 677,80;13 456,36;37 379,79;13 456,36;461,14;10 168,49;1 761,94;23 139,06;37 333,91;21 836,14
2008;Muud teatrid;89,57;1 238,33;132,50;115,90;3 754,62;1 908,21;226,76;1 364,91;319,87;1 900,64;3 812,18;1 730,50
;Riigi- ja linnateatrid;4 918,37;7 374,39;1 720,80;2 042,30;37 561,60;13 370,24;393,61;11 568,65;2 536,14;24 218,28;38 716,69;22 149,06
;Teatrid kokku;5 007,94;8 612,72;1 853,30;2 158,21;41 316,22;15 278,45;620,37;12 933,56;2 856,01;26 118,93;42 528,87;23 879,56
2009;Muud teatrid;86,73;726,95;115,60;301,68;2 797,54;2 538,44;153,55;1 001,66;153,85;1 451,65;5 521,44;1 377,48
;Riigi- ja linnateatrid;2 680,88;6 374,56;1 639,70;2 046,50;32 265,34;8 847,37;503,09;14 962,35;583,40;17 047,61;33 096,45;21 065,11
;Teatrid kokku;2 767,62;7 101,51;1 755,30;2 348,18;35 062,88;11 385,80;656,65;15 964;737,26;18 499,26;38 617,89;22 442,59
2010;Muud teatrid;92,87;838,42;159,80;173,77;3 138,75;1 457,78;253,90;1 061,43;210,46;1 400,77;2 926,55;1 507,20
;Riigi- ja linnateatrid;3 478,42;6 762,51;159,80;1 935,23;32 622,39;10 306,77;278,69;10 069,57;683,22;24 798,33;35 829,80;20 380,39
;Teatrid kokku;3 571,29;7 600,92;1 805,20;2 109;35 761,14;11 764,56;532,59;11 130,99;893,67;26 199,10;38 756,35;21 887,59
2011;Muud teatrid;57,81;837,81;..;194,29;3 450,70;1 477,95;272,87;1 090,37;438,29;1 615,66;3 417,20;1 778,46
;Riigi- ja linnateatrid;4 103,10;7 799,75;..;2 362,98;35 053,43;11 728,39;814,12;11 219,47;688,77;21 335,18;34 057,54;20 962,06
;Teatrid kokku;4 160,91;8 637,55;..;2 557,28;38 504,13;13 206,33;1 086,99;12 309,84;1 127,07;22 950,84;37 474,73;22 740,52
2012;Muud teatrid;..;883,25;..;170,72;3 015,91;1 228,34;189,49;1 112,55;204,10;1 503,01;3 009,16;1 616,84
;Riigi- ja linnateatrid;..;7 325,09;..;2 332,51;39 897,31;15 885,76;747,49;12 020,36;903,02;21 463,21;35 134,08;21 679,04
;Teatrid kokku;..;8 208,34;..;2 503,24;42 913,22;17 114,11;936,98;13 132,92;1 107,12;22 966,23;38 143,24;23 295,88
2013;Muud teatrid;..;874;..;317,92;3 586,61;1 514,73;140,25;1 307,25;224,05;2 046,49;3 718,04;1 753,97
;Riigi- ja linnateatrid;..;7 951,34;..;2 543,40;36 987,57;10 381,91;412,11;12 090,16;754,22;23 872,48;37 128,97;24 062,26
;Teatrid kokku;..;8 825,33;..;2 861,32;40 574,19;11 896,64;552,35;13 397,41;978,27;25 918,98;40 847,01;25 816,23
2014;Muud teatrid;..;718,51;..;371,12;3 438,92;1 256,96;128,06;1 193,20;112,64;1 996,18;3 430,08;1 810,84
;Riigi- ja linnateatrid;..;8 697,67;..;2 959,13;39 217,47;10 400,14;368,12;13 157,32;908,42;27 846,47;42 280,32;25 858,20
;Teatrid kokku;..;9 416,18;..;3 330,25;42 656,39;11 657,10;496,17;14 350,52;1 021,06;29 842,65;45 710,40;27 669,04
2015;Muud teatrid;..;1 136,70;..;548,84;4 391,72;1 760,07;108,94;1 905,11;132,76;2 306,01;4 452,82;2 082,81
;Riigi- ja linnateatrid;..;9 408,11;..;3 477,72;42 762,74;11 334,14;1 048,30;14 782,40;1 147,08;28 234,15;45 211,93;27 950,87
